participant_id,group,question_id,question,answer,icon,vibration,duration,font,color,score
CE2,experiment,Q08,what_day_and_time_was_lecture,Today at 2pm,1,0,1,1,1,0
CE2,experiment,Q09,what_place_was_lecture,Social sciences,1,0,1,1,1,0
CE2,experiment,Q10,what_was_the_subject_of_the_email_from_susan,Meeting?,0,0,0,0,0,0
CE2,experiment,Q11,what_restaurant_did_you_order_from_via_door_dash,Ian’s Pizza,1,0,0,1,1,1
CE2,experiment,Q12,what_was_the_remaining_battery_power,5%,1,0,1,0,1,1
CE2,experiment,Q13,what_was_the_weather_in_chicago,Cloudy,0,0,1,0,0,1
CE2,experiment,Q14,what_was_the_temperature_in_chicago,40,0,0,1,0,0,0
CE3,control,Q01,what_day_and_time_was_dinner,Sunday at 5,NA,NA,NA,NA,NA,0
CE3,control,Q02,what_place_was_dinner,Applebees,NA,NA,NA,NA,NA,0
CE3,control,Q03,what_was_the_message_from_mary,I’m ready,NA,NA,NA,NA,NA,1
CE3,control,Q04,what_item_did_you_order_from_amazon,Monitor,NA,NA,NA,NA,NA,1
CE3,control,Q05,what_was_the_number_of_missed_calls,3,NA,NA,NA,NA,NA,1
CE3,control,Q06,what_was_the_sport_for_the_score_update,Football,NA,NA,NA,NA,NA,1
CE3,control,Q07,what_was_the_score_in_the_game,16-16,NA,NA,NA,NA,NA,1
CE3,experiment,Q08,what_day_and_time_was_lecture,11:00 am Tuesday,0,1,1,1,0,0
CE3,experiment,Q09,what_place_was_lecture,Upstairs,0,1,1,1,0,0
CE3,experiment,Q10,what_was_the_subject_of_the_email_from_susan,Homework,1,1,1,1,0,0
CE3,experiment,Q11,what_restaurant_did_you_order_from_via_door_dash,A pizza place,1,1,0,1,1,1
CE3,experiment,Q12,what_was_the_remaining_battery_power,5%,0,0,1,0,1,1
CE3,experiment,Q13,what_was_the_weather_in_chicago,Sunny,0,0,0,1,1,0
CE3,experiment,Q14,what_was_the_temperature_in_chicago,54,0,0,0,1,1,0
CE4,control,Q01,what_day_and_time_was_dinner,4:00,NA,NA,NA,NA,NA,0
CE4,control,Q02,what_place_was_dinner,Mom’s,NA,NA,NA,NA,NA,0
CE4,control,Q03,what_was_the_message_from_mary,No clue,NA,NA,NA,NA,NA,0
CE4,control,Q04,what_item_did_you_order_from_amazon,Monitor,NA,NA,NA,NA,NA,1
CE4,control,Q05,what_was_the_number_of_missed_calls,3,NA,NA,NA,NA,NA,1
CE4,control,Q06,what_was_the_sport_for_the_score_update,Football,NA,NA,NA,NA,NA,1
CE4,control,Q07,what_was_the_score_in_the_game,16-16,NA,NA,NA,NA,NA,1
CE4,experiment,Q08,what_day_and_time_was_lecture,Thursday at 1,0,1,0,1,1,0
CE4,experiment,Q09,what_place_was_lecture,No clue,0,1,0,1,1,0
CE4,experiment,Q10,what_was_the_subject_of_the_email_from_susan,Don’t remember,0,0,1,1,1,0
CE4,experiment,Q11,what_restaurant_did_you_order_from_via_door_dash,Don’t remember,0,1,1,1,0,0
CE4,experiment,Q12,what_was_the_remaining_battery_power,6%,1,1,0,0,0,1
CE4,experiment,Q13,what_was_the_weather_in_chicago,Sunny,0,1,0,0,0,0
CE4,experiment,Q14,what_was_the_temperature_in_chicago,53,0,1,0,0,0,0
CE5,control,Q01,what_day_and_time_was_dinner,-,NA,NA,NA,NA,NA,0
CE5,control,Q02,what_place_was_dinner,-,NA,NA,NA,NA,NA,0
CE5,control,Q03,what_was_the_message_from_mary,I’m here,NA,NA,NA,NA,NA,1
CE5,control,Q04,what_item_did_you_order_from_amazon,Monitor,NA,NA,NA,NA,NA,1
CE5,control,Q05,what_was_the_number_of_missed_calls,5,NA,NA,NA,NA,NA,0
CE5,control,Q06,what_was_the_sport_for_the_score_update,-,NA,NA,NA,NA,NA,0
CE5,control,Q07,what_was_the_score_in_the_game,16-14,NA,NA,NA,NA,NA,0
CE5,experiment,Q08,what_day_and_time_was_lecture,-,0,1,1,1,1,0
CE5,experiment,Q09,what_place_was_lecture,-,0,1,1,1,1,0
CE5,experiment,Q10,what_was_the_subject_of_the_email_from_susan,Test Scores,1,1,1,1,0,0
CE5,experiment,Q11,what_restaurant_did_you_order_from_via_door_dash,-,1,1,1,1,1,0
CE5,experiment,Q12,what_was_the_remaining_battery_power,5%,1,1,0,0,1,1
CE5,experiment,Q13,what_was_the_weather_in_chicago,-,1,1,0,1,0,0
CE5,experiment,Q14,what_was_the_temperature_in_chicago,-,1,1,0,1,0,0
CE6,control,Q01,what_day_and_time_was_dinner,Tuesday 7:00pm,NA,NA,NA,NA,NA,0
CE6,control,Q02,what_place_was_dinner,Chipotle,NA,NA,NA,NA,NA,0
CE6,control,Q03,what_was_the_message_from_mary,I’m running late,NA,NA,NA,NA,NA,0
CE6,control,Q04,what_item_did_you_order_from_amazon,Shoes,NA,NA,NA,NA,NA,0
CE6,control,Q05,what_was_the_number_of_missed_calls,3,NA,NA,NA,NA,NA,1
CE6,control,Q06,what_was_the_sport_for_the_score_update,Football,NA,NA,NA,NA,NA,1
CE6,control,Q07,what_was_the_score_in_the_game,16-16,NA,NA,NA,NA,NA,1
CE6,experiment,Q08,what_day_and_time_was_lecture,Friday 9:00am,1,0,0,1,1,0
CE6,experiment,Q09,what_place_was_lecture,CS building,1,0,0,1,1,0
CE6,experiment,Q10,what_was_the_subject_of_the_email_from_susan,Reminder to fill out your course evaluations,1,0,0,0,0,0
CE6,experiment,Q11,what_restaurant_did_you_order_from_via_door_dash,Ian’s Pizza,0,1,1,0,0,1
CE6,experiment,Q12,what_was_the_remaining_battery_power,5%,1,0,1,0,1,1
CE6,experiment,Q13,what_was_the_weather_in_chicago,Sunny,0,1,0,1,1,0
CE6,experiment,Q14,what_was_the_temperature_in_chicago,30,0,1,0,1,1,0
CE7,control,Q01,what_day_and_time_was_dinner,Don’t remember,NA,NA,NA,NA,NA,0
CE7,control,Q02,what_place_was_dinner,Don’t remember,NA,NA,NA,NA,NA,0
CE7,control,Q03,what_was_the_message_from_mary,I’m here,NA,NA,NA,NA,NA,1
CE7,control,Q04,what_item_did_you_order_from_amazon,Don’t remember,NA,NA,NA,NA,NA,0
CE7,control,Q05,what_was_the_number_of_missed_calls,3,NA,NA,NA,NA,NA,1
CE7,control,Q06,what_was_the_sport_for_the_score_update,Don’t remember,NA,NA,NA,NA,NA,0
CE7,control,Q07,what_was_the_score_in_the_game,16-16,NA,NA,NA,NA,NA,1
CE7,experiment,Q08,what_day_and_time_was_lecture,Don’t remember,0,1,1,0,1,0
CE7,experiment,Q09,what_place_was_lecture,Don’t remember,0,1,1,0,1,0
CE7,experiment,Q10,what_was_the_subject_of_the_email_from_susan,Don’t remember,0,0,1,1,1,0
CE7,experiment,Q11,what_restaurant_did_you_order_from_via_door_dash,Ian’s Pizza,0,0,1,0,0,1
CE7,experiment,Q12,what_was_the_remaining_battery_power,Don’t remember,1,0,1,1,1,0
CE7,experiment,Q13,what_was_the_weather_in_chicago,Don’t remember,0,0,0,0,0,0
CE7,experiment,Q14,what_was_the_temperature_in_chicago,Don’t remember,0,0,0,0,0,0
CE8,control,Q01,what_day_and_time_was_dinner,Thursday 8,NA,NA,NA,NA,NA,0
CE8,control,Q02,what_place_was_dinner,Ian’s pizza,NA,NA,NA,NA,NA,0
CE8,control,Q03,what_was_the_message_from_mary,She’s reached.,NA,NA,NA,NA,NA,1
CE8,control,Q04,what_item_did_you_order_from_amazon,Gloves,NA,NA,NA,NA,NA,0
CE8,control,Q05,what_was_the_number_of_missed_calls,3,NA,NA,NA,NA,NA,1
CE8,control,Q06,what_was_the_sport_for_the_score_update,16-10,NA,NA,NA,NA,NA,1
CE8,control,Q07,what_was_the_score_in_the_game,Football,NA,NA,NA,NA,NA,0
CE8,experiment,Q08,what_day_and_time_was_lecture,Don’t remember,1,1,0,1,0,0
CE8,experiment,Q09,what_place_was_lecture,Don’t remember,1,1,0,1,0,0
CE8,experiment,Q10,what_was_the_subject_of_the_email_from_susan,Lecture today,1,0,1,0,0,1
CE8,experiment,Q11,what_restaurant_did_you_order_from_via_door_dash,Ian’s pizza,1,1,0,1,1,1
CE8,experiment,Q12,what_was_the_remaining_battery_power,5,1,1,1,0,0,1
CE8,experiment,Q13,what_was_the_weather_in_chicago,Cold,0,1,0,1,1,0
CE8,experiment,Q14,what_was_the_temperature_in_chicago,50,0,1,0,1,1,0
CE9,control,Q01,what_day_and_time_was_dinner,5:00 PM,NA,NA,NA,NA,NA,0
